comment number,random index,month,year,topic,contribution
9694,68493017,12,2009,28,0.6752007
9764,45771736,12,2009,48,0.70737004
10871,85644245,2,2010,12,0.7453558
10959,16964581,2,2010,49,0.5062559
13831,70774523,6,2010,33,0.77320087
13916,86741411,6,2010,4,0.2665864
17305,93882149,9,2010,23,0.74059606
17375,50386271,9,2010,33,0.8003893
20762,38485777,12,2010,27,0.6728143
25746,15955901,4,2011,14,0.32609951
27796,12483935,5,2011,29,0.42067853
29398,99755560,6,2011,4,0.27584136
30163,59269020,6,2011,49,0.442881
31508,43264379,6,2011,29,0.36662227
32898,35233961,7,2011,48,0.7019814
33526,25874802,7,2011,22,0.523485
34737,35938109,8,2011,16,0.75587225
35528,87087713,8,2011,16,0.7359517
39048,96347166,9,2011,14,0.29495266
39932,42379789,10,2011,12,0.78830034
41217,68282713,10,2011,48,0.6904291
47558,40100055,12,2011,33,0.7270439
48114,59647920,12,2011,28,0.64236975
49703,23018696,1,2012,14,0.35830075
49941,45348608,1,2012,48,0.6783294
50018,97823594,1,2012,14,0.35433117
51493,72948854,1,2012,14,0.30481145
55312,30691923,2,2012,16,0.6911935
56606,88465010,2,2012,47,0.27869016
56808,97215780,2,2012,22,0.68017906
56829,62020152,2,2012,49,0.46823883
57214,96177134,2,2012,29,0.3762937
57774,44512352,2,2012,23,0.7099157
62328,35935726,3,2012,48,0.7173545
65714,71113958,4,2012,12,0.84190464
66679,40973913,5,2012,49,0.44747108
69400,45122397,5,2012,14,0.28243446
74636,19091648,5,2012,14,0.3222642
79052,44326909,5,2012,47,0.3534737
80086,77808375,5,2012,16,0.7088459
84981,99440519,6,2012,23,0.72253764
85905,80082063,6,2012,4,0.2958734
85949,87783638,6,2012,29,0.43158635
87593,90288308,7,2012,49,0.45896086
90348,34060632,7,2012,47,0.28977415
92112,34819642,7,2012,23,0.70181584
92338,88782106,7,2012,33,0.7586727
92405,13380250,7,2012,12,0.78896654
94454,38141582,7,2012,48,0.7012974
94550,36552724,7,2012,48,0.71855366
94987,84566160,7,2012,4,0.3674924
98799,22228970,8,2012,23,0.76056355
99415,98365363,8,2012,16,0.66968566
100326,97939275,8,2012,48,0.67412955
100558,61775957,8,2012,22,0.5187558
100992,18068485,8,2012,22,0.5666658
102104,91390145,8,2012,12,0.745206
103168,46396426,8,2012,29,0.3710849
104008,23444066,8,2012,48,0.6930343
105017,79131803,8,2012,33,0.74921167
105502,17487151,8,2012,14,0.29971513
107031,87975654,8,2012,49,0.45416406
110053,37502052,9,2012,28,0.67963606
112957,14732120,9,2012,47,0.2544846
113484,97083800,10,2012,12,0.7771042
114064,73394521,10,2012,28,0.65894395
114344,12709561,10,2012,16,0.7042089
115952,15994598,10,2012,27,0.6728102
116816,94298156,10,2012,29,0.3787761
118593,85421347,10,2012,12,0.7650193
119106,27397371,10,2012,23,0.66995203
123078,74511922,11,2012,47,0.36360496
123531,13676663,11,2012,49,0.44595507
126602,45971229,11,2012,33,0.7253334
127094,71170970,12,2012,23,0.68251777
128459,28680077,12,2012,16,0.66960335
130440,88605863,12,2012,28,0.6924531
135546,90174388,1,2013,22,0.55504817
137112,11012905,1,2013,49,0.4773892
143414,49802391,2,2013,14,0.28073773
143711,76515590,2,2013,29,0.4382478
144666,11758747,3,2013,12,0.7460944
146554,12316669,3,2013,27,0.68988055
148562,72074834,3,2013,12,0.8048178
151990,49349004,3,2013,49,0.5021933
154277,42551705,3,2013,27,0.7588883
154769,86797914,3,2013,12,0.80492926
155106,23507740,3,2013,12,0.7659829
156571,94334628,3,2013,16,0.70559686
158839,60349754,3,2013,16,0.6644602
163169,15917532,4,2013,12,0.7508857
163745,71441814,4,2013,14,0.30503693
166743,62353118,4,2013,49,0.48923153
172175,18426094,5,2013,23,0.8647426
176087,17595491,5,2013,14,0.31962794
177362,16519422,5,2013,23,0.6728154
178766,17610829,5,2013,16,0.69571114
183584,63754715,6,2013,23,0.6730571
184081,24299425,6,2013,16,0.6939407
186473,32395909,6,2013,23,0.7208229
189599,87259561,7,2013,48,0.70822364
189715,49808025,7,2013,12,0.7740981
194979,19023449,8,2013,47,0.41069314
194983,59467441,8,2013,47,0.2645844
195170,96004439,8,2013,29,0.43629634
196623,19598045,8,2013,28,0.640212
199874,40810292,8,2013,4,0.24257474
204316,13847588,9,2013,12,0.7471161
205681,30616651,10,2013,16,0.67329746
209431,48776699,10,2013,28,0.7045366
214753,44143768,11,2013,12,0.7946171
216451,83690323,12,2013,27,0.67296696
217283,59498405,12,2013,29,0.37846723
217284,49865147,12,2013,23,0.76530665
221336,73118714,12,2013,4,0.2546841
223339,30542759,1,2014,47,0.34573647
223839,27507665,1,2014,27,0.6729193
224016,56226565,1,2014,27,0.67274123
224621,50083752,1,2014,16,0.709974
225134,87475134,1,2014,48,0.7094875
225344,69632317,1,2014,27,0.673008
229747,72420463,1,2014,49,0.5109468
232308,49302399,2,2014,23,0.7160201
234131,56566742,2,2014,49,0.560423
234723,24845163,2,2014,14,0.29652938
235557,42736057,2,2014,48,0.69442403
241487,33829576,3,2014,48,0.69182074
242358,56973415,3,2014,16,0.66871375
245609,33112743,4,2014,48,0.6752754
250030,58896675,5,2014,29,0.36946708
250765,81020811,5,2014,4,0.3183357
252236,73448529,5,2014,49,0.45201936
252394,22754240,5,2014,29,0.40904433
257731,21300638,6,2014,47,0.27961415
258393,77994653,6,2014,47,0.32273003
263973,48769784,7,2014,16,0.66500807
276530,21960343,9,2014,16,0.7713328
278255,74215355,9,2014,28,0.63489187
280867,63791425,10,2014,28,0.66126215
281691,91643907,10,2014,28,0.7440755
281822,75300244,10,2014,28,0.7106846
285250,72804498,10,2014,12,0.7512849
288768,78331078,11,2014,27,0.67311734
289167,10520440,11,2014,12,0.7719978
289172,45596549,11,2014,16,0.66753405
289726,92142289,11,2014,33,0.7639411
291264,38471361,11,2014,4,0.28639647
298139,58264931,1,2015,14,0.27929378
298977,16626931,1,2015,12,0.76799387
300292,20999134,1,2015,33,0.7127731
302554,42055167,1,2015,16,0.6616464
303791,27433406,2,2015,49,0.50502574
305678,23838144,2,2015,49,0.45190075
305891,37313608,2,2015,27,0.67299855
306385,11644902,2,2015,47,0.3811034
309947,58070190,3,2015,22,0.5323233
311581,70987688,3,2015,28,0.6420215
313789,29617573,3,2015,23,0.8103118
313818,16957796,3,2015,27,0.67279446
314799,96986823,3,2015,4,0.23851156
317172,97751858,3,2015,4,0.2540997
319514,88631042,4,2015,22,0.593207
319818,35575557,4,2015,4,0.23394822
329796,48483443,5,2015,28,0.66207075
330063,98342453,5,2015,12,0.772998
339595,42655242,6,2015,4,0.23455569
342143,74825020,6,2015,16,0.83664346
353785,84300233,6,2015,22,0.5722889
355646,31676803,6,2015,23,0.7047666
357829,12009183,6,2015,12,0.7663368
